rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40118,40869,40079,40158,40593,42332,39842,40830
40000,41027,39960,39960,39407,41423,39921,40988
39802,40435,39802,39763,38419,40079,40079,40948
39367,40079,39684,39644,38735,38695,40237,40276
38854,39684,39486,39565,39605,37628,40000,38972
38695,38933,39288,39565,39921,37075,40039,38419
39051,38616,39209,39723,39960,37549,40276,38814
39407,38814,39328,39763,40039,38854,40276,39249
39288,38774,39723,39842,39881,39525,38972,39012
39525,38695,40079,40039,39921,39249,36482,39130
40079,38656,40237,40118,40000,39012,36680,40395
40356,38616,40039,39960,40079,40039,39091,41423
40474,38735,40000,39802,40237,41344,40751,41265
40395,38537,40000,39723,40000,41739,41027,40553
39921,39486,39921,39763,40118,41699,40790,39960
39802,41976,39802,39960,40276,41265,40514,39525
39881,43676,39644,39881,40000,40000,40118,39170
39525,43478,39486,39565,39486,38182,39684,39130
39446,41739,39802,39644,39565,37826,39644,39525
39288,40276,40000,39842,39842,38379,39644,39921
39130,39525,40197,40000,39881,39170,39525,40000
40079,39051,40276,40158,39960,39881,39565,40118
41186,38972,40158,40197,39802,40395,39605,40237
41344,38616,40079,40039,39723,40948,39684,40356
41146,39288,40118,40000,39723,41423,39763,40553
40514,40435,40039,39960,39644,41462,39842,40395
40000,40316,39842,39763,39605,40790,39723,40000
38261,38893,39644,39486,39644,40039,39605,39446
37114,38063,39723,39605,39881,39842,39684,39565
38774,38656,40000,39960,40316,40000,39763,39960
40514,39249,40000,40118,40474,39802,39684,40158
41067,39605,39802,39960,40158,39565,39486,39842
40079,40197,39644,39723,39605,39130,39407,39486
38419,41265,39723,39565,39446,38695,39367,39091
38300,42292,39881,39644,39565,38972,39407,39091
38735,42095,39881,39921,39921,39565,39407,39486
39367,41107,39565,39960,40000,39921,39565,39881
40395,40632,39407,39842,39723,39921,39723,40118
40909,40276,39802,39881,39486,39842,39684,40118
40632,39763,40000,39644,39288,39644,39684,39881
39921,39170,40039,39565,39328,39684,39684,39565
39605,38933,40039,39842,39684,39881,39921,39605
