rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
41660,41858,41383,40118,40395,41344,39881,37984
42371,41462,41146,40039,40079,40474,39763,38933
41818,40751,40790,39802,39644,40276,39723,40039
41660,40237,40395,39763,39605,40079,39763,40632
41699,39605,39723,39446,39367,39525,39684,40197
41660,38933,38893,39288,39130,39209,39446,39684
40909,38537,38458,39565,39446,39209,39565,39921
38774,38458,38419,40000,40079,39525,39644,39881
37075,39209,38616,40118,40158,39249,39684,39644
36680,40474,38933,40000,39960,38814,39644,39881
37747,40632,39091,39684,39644,38695,39644,40118
39446,40039,39486,39367,39170,39012,39605,39960
40711,40118,40197,39367,39209,39723,39763,39881
40356,40553,40869,39802,39486,40474,39881,39921
38735,40197,41344,39842,39802,40553,39881,39763
38972,39565,41462,39684,40079,40395,39763,39684
39328,40276,40988,39723,40474,40514,39684,39525
38103,40158,40197,39763,41146,40711,39605,39367
38182,38933,39644,39763,41502,40395,39565,39328
41699,38735,39209,39605,40672,39723,39407,39525
43201,39881,39288,39644,39684,39486,39525,39763
42332,40988,39644,39605,39288,39051,39723,40237
42688,41660,39802,39960,39170,38142,39881,40593
41541,41067,39763,40079,39012,38498,39763,40395
38537,39802,39565,39921,38972,39012,39565,39684
37470,39051,39684,39723,38695,38261,39407,39130
39605,38814,39921,39802,38854,38458,39605,39446
39921,38498,39921,39881,39367,40000,39763,39723
38656,38340,39605,39842,39921,41027,39723,39723
37865,38221,39328,39763,40237,41146,39605,39367
39802,41146,40039,39249,39288,39328,39565,39644
40632,43083,39446,39209,39486,40039,39842,39842
40593,43439,39051,39446,40000,40790,40000,40079
39407,42569,39012,39644,40237,40593,39842,40197
38933,40395,39130,39684,39960,39960,39763,40435
39367,38063,39605,39921,40000,39802,39802,40474
40118,36601,40276,40197,40197,40079,39723,39605
40395,36798,40514,40158,40158,40197,39684,39367
40316,37628,40435,39842,39763,39960,39644,40079
39921,38577,40237,39644,39446,39684,39486,39802
39605,39170,40039,39921,39644,39684,39249,38735
38537,39012,39605,40158,39842,39763,39209,38458
38063,38300,38972,40158,40118,39921,39605,39367
39446,38221,38893,39960,40197,40039,40000,40197
41265,39684,39525,39763,40039,40237,40356,40672
41383,41383,40514,39605,39723,40079,40356,40711
40435,42095,40988,39763,39921,39842,39960,40356
39012,41739,40435,39763,40039,39367,39605,39842
37273,40632,39723,39446,39763,38972,39328,39446
36284,38814,39130,39091,39209,38695,38735,38300
37786,39051,39486,39328,39328,39170,38854,38024
41937,42134,40632,40000,40000,40276,39723,39960
42925,43122,41225,40158,39960,40909,39960,40830
41186,42411,41423,40118,39605,40276,39842,40632
40000,42411,41620,40118,39644,39565,39881,40672
40079,42213,41186,40039,39802,39605,39881,40593
40197,41225,40197,39802,39921,39565,39802,39921
40237,41225,39130,39723,39921,39605,39881,39842
39960,41581,38616,39723,39802,39763,39802,39684
39012,41107,38972,39842,40000,40158,39684,38774
39525,39960,39407,39802,39960,40316,39684,38656
40632,38537,39605,39802,39684,40000,39723,39525
40474,37865,39525,39802,39960,39960,39802,40316
39565,36680,38972,39960,40395,40158,39842,40474
38103,34624,38340,39723,40276,40000,39723,40158
37431,31739,38103,39407,39921,39763,39525,39802
38498,31660,38695,39288,39525,39605,39407,39525
39249,36601,39763,39091,39209,39328,39328,39328
39802,42885,40790,39288,39012,39170,39446,39367
40474,46403,41541,39605,39130,39446,39605,39525
40553,46640,42253,39763,39486,40000,39802,39684
40237,44941,42411,40000,40039,40276,39842,39921
38182,43399,41897,40079,40356,40158,39802,39960
37549,42609,41107,39921,40356,39881,39842,40000
39684,41818,39960,39565,39960,39644,39763,40276
41027,40672,38735,39328,39565,39565,39684,40237
40948,39012,37707,39525,39605,39525,39565,39802
40118,37707,37391,40158,40079,39525,39367,39170
39842,36601,37668,40553,40435,39763,39367,39249
39921,36680,38103,40158,40276,39763,39407,39644
39921,37628,38656,39684,39644,39446,39525,39763
39723,38933,39249,39486,38933,39249,39565,39763
39644,39565,39486,39723,39012,39407,39605,39684
39684,39565,39486,39960,39486,39565,39644,39763
39802,40276,39565,39881,39842,39644,39723,40039
39921,41423,40079,39723,40237,39921,39842,40237
39644,42055,40237,39565,40474,40316,40000,40276
39407,41620,40435,39644,40474,40751,40158,40276
39328,40158,40909,39881,40553,40869,40118,40197
39170,38300,41027,39763,40158,40514,40079,39881
39170,36561,40632,39605,39763,39960,39802,39763
39684,36166,40356,39763,39605,39723,39605,39881
40197,35771,39960,39881,39605,39842,39565,39881
40158,35810,39525,39921,39644,40118,39486,39367
39802,37786,38933,39842,39644,39921,39288,38854
39802,40751,38735,39723,39644,39723,39288,39091
39921,43083,39130,39644,39525,39525,39407,39605
39525,43201,39644,39644,39565,39644,39644,40000
38814,40988,39802,39723,39802,39881,39842,40158
38933,39802,39565,39842,39960,39921,39842,40000
39921,41581,39565,39684,39763,39802,39802,39802
40237,43083,40118,39565,39525,39644,39723,39881
